W,min_W_prime,eta
[-0.2296603693957426],[-0.38906547345593967],[1.0240133365629662]
[-0.24518169593242495],[-0.39377281776444406],[1.0416514975381899]
[-0.26039794537406385],[-0.3986270750683111],[1.0592896585134133]
[-0.2752901842959623],[-0.4035992353620759],[1.076927819488637]
[-0.28983988243642334],[-0.4086607134596863],[1.0945659804638606]
[-0.3040289357537659],[-0.41378351451910655],[1.112204141439084]
[-0.31783968895300213],[-0.4189403703832689],[1.1298423024143076]
[-0.33125495745413924],[-0.42410484955842187],[1.1474804633895312]
[-0.34425804877478006],[-0.42925144388005193],[1.1651186243647547]
[-0.35683278330040796],[-0.4343556349570682],[1.1827567853399783]
[-0.36896351441651765],[-0.43939394338713156],[1.200394946315202]
[-0.38063514797753845],[-0.44434396354394334],[1.2180331072904254]
[-0.3918331610883269],[-0.4491843864875931],[1.235671268265649]
[-0.4025436201748564],[-0.4538950132704033],[1.2533094292408724]
[-0.41275319832162394],[-0.4584567606245598],[1.270947590216096]
[-0.422449191854194],[-0.462851660739303],[1.2885857511913197]
[-0.4316195361462524],[-0.4670628565745226],[1.306223912166543]
[-0.4402528206314986],[-0.47107459392010864],[1.3238620731417667]
[-0.448338303001697],[-0.47487221119920336],[1.3415002341169904]
[-0.4558659225732218],[-0.47844212782923634],[1.3591383950922138]
[-0.4628263128054646],[-0.4817718317964956],[1.3767765560674374]
[-0.4692108129555249],[-0.4848498669662521],[1.394414717042661]
[-0.47501147885468403],[-0.4876658205388778],[1.4120528780178845]
[-0.4802210927932553],[-0.4902103109704794],[1.4296910389931081]
[-0.4848331725015055],[-0.49247497660179373],[1.4473291999683318]
[-0.48884197921547756],[-0.49445246517906327],[1.4649673609435552]
[-0.4922425248176767],[-0.49613642440304717],[1.4826055219187788]
[-0.4950305780437343],[-0.49752149360520787],[1.5002436828940022]
[-0.49720266974732685],[-0.4986032966216075],[1.5178818438692259]
[-0.4987560972167993],[-0.4993784359135531],[1.5355200048444495]
[-0.4996889275381232],[-0.4998444879681079],[1.553158165819673]
[-0.4999999999999999],[-0.5],[1.5707963267948966]
