sample,time,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
3297,1685579206.0098822,10139.0,91.79021976465926,11305.0,85.32617157446802,0.0,0.0,21591.0,91.13421116378,458.0,18.06162291219209,0.0,0.0,6.0,3.39934634239519,0.0,0.0
3298,1685579207.10589,10209.0,98.16595925042222,11368.0,66.09420885708856,0.0,0.0,21632.0,128.3813762886883,436.0,21.406125810669764,0.0,0.0,4.0,1.632993161855452,0.0,0.0
3299,1685579208.2058916,10339.0,100.82382875314964,11358.0,118.77897307370714,0.0,0.0,21470.0,163.1359351379497,437.0,15.919938581679405,0.0,0.0,7.0,2.134374745810949,0.0,0.0
3300,1685579209.3068948,10407.0,133.21703261136608,11567.0,99.49930206343716,0.0,0.0,21464.0,188.58655542983144,519.0,24.37895267096873,0.0,0.0,10.0,2.981423969999719,0.0,0.0
3301,1685579210.4068964,10387.0,97.12592055905799,11472.0,56.24944444170093,0.0,0.0,21904.0,150.93191989915337,463.0,23.335714164249517,0.0,0.0,5.0,2.23606797749979,0.0,0.0
3302,1685579211.506898,10280.0,116.50464940650792,11145.0,73.57913351548038,0.0,0.0,21926.0,136.46489169990448,484.0,13.266499161421596,0.0,0.0,5.0,2.23606797749979,0.0,0.0
3303,1685579212.6068995,10137.0,124.99822220958006,11192.0,157.379936600713,0.0,0.0,21679.0,114.64389308734337,415.0,14.161763857498668,0.0,0.0,6.0,2.2110831935702664,0.0,0.0
3304,1685579213.706901,10174.0,87.72684879784522,11350.0,108.52547064066471,0.0,0.0,21626.0,92.8104400257739,466.0,17.71377367411523,0.0,0.0,2.0,1.3333333333333333,0.0,0.0
3305,1685579214.8069026,10180.0,104.76428568723006,11279.0,121.07343960496776,0.0,0.0,21882.0,153.51293828932538,445.0,19.04672616954887,0.0,0.0,7.0,1.5275252316519468,0.0,0.0
3306,1685579215.906904,10275.0,94.38985350367085,11412.0,122.2910917079045,0.0,0.0,21609.0,141.1102799625566,491.0,21.779194965226175,0.0,0.0,8.0,2.4944382578492945,0.0,0.0
summary,,10252.7,31.66457887854433,11344.8,39.43906692608231,0.0,0.0,21678.3,53.79034403228064,461.4,9.662297863344929,0.0,0.0,6.0,0.6992058987801011,0.0,0.0
