sample,time,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
3359,1685579274.4620183,10224.0,80.66666666666666,11252.0,80.44045416745648,0.0,0.0,22113.0,97.57105672847409,460.0,33.96076167186674,0.0,0.0,4.0,2.2110831935702664,0.0,0.0
3360,1685579275.53402,10274.0,98.37795597704913,11446.0,99.32214702113968,0.0,0.0,21678.0,158.56158985636392,512.0,37.17227162520174,0.0,0.0,8.0,2.4944382578492945,0.0,0.0
3361,1685579276.6040213,10288.0,113.5957745693034,11281.0,110.36756769993617,0.0,0.0,21548.0,110.09894539811802,453.0,27.810869178154864,0.0,0.0,5.0,1.6666666666666665,0.0,0.0
3362,1685579277.7040238,10193.0,93.05971798319136,11357.0,99.42110216425662,0.0,0.0,21655.0,71.29360264271807,484.0,22.469732728470287,0.0,0.0,4.0,1.632993161855452,0.0,0.0
3363,1685579278.8240256,10241.0,50.8254092184433,11441.0,69.24112458166269,0.0,0.0,21822.0,178.92767005444156,471.0,19.290181728307047,0.0,0.0,8.0,2.9059326290271152,0.0,0.0
3364,1685579279.904027,10170.0,92.92768992908171,11363.0,136.7808466123821,0.0,0.0,21691.0,146.51848575066106,464.0,19.955506062794356,0.0,0.0,3.0,1.5275252316519463,0.0,0.0
3365,1685579281.0040283,10150.0,142.2985906075281,11364.0,92.34235816303972,0.0,0.0,21631.0,118.38214955529965,488.0,22.64705033528404,0.0,0.0,4.0,3.9999999999999996,0.0,0.0
3366,1685579282.1040301,10065.0,134.8188084471566,11467.0,143.4499525579876,0.0,0.0,21634.0,148.32546795626314,471.0,10.89852181618121,0.0,0.0,0.0,0.0,0.0,0.0
3367,1685579283.2040315,10064.0,111.08755305813719,11244.0,86.56660890769474,0.0,0.0,21635.0,208.20529398755556,493.0,17.0,0.0,0.0,5.0,2.23606797749979,0.0,0.0
3368,1685579284.3040333,10210.0,73.83164031166524,11533.0,108.68967036680368,0.0,0.0,21785.0,149.898113545316,453.0,24.94660965609021,0.0,0.0,3.0,2.134374745810949,0.0,0.0
summary,,10187.9,24.558976634488115,11374.8,30.648472863894686,0.0,0.0,21719.2,50.33527590070407,474.9,6.045108215187989,0.0,0.0,4.4,0.7483314773547882,0.0,0.0
