,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-20.0,1374+/-15,274+/-7,235+/-7,1303+/-17,327+/-5,1312+/-14,1217+/-14,328+/-6,0.858+/-0.008
1,-19.210526315789473,1314+/-10,347+/-8,298+/-4,1226+/-10,247+/-6,1370+/-16,1263+/-17,254+/-6,0.727+/-0.007
2,-18.42105263157895,1227+/-9,445+/-8,361+/-9,1169+/-18,190+/-8,1403+/-24,1340+/-14,212+/-8,0.597+/-0.009
3,-17.63157894736842,1154+/-18,521+/-13,444+/-5,1109+/-13,150+/-7,1491+/-23,1388+/-18,159.0+/-1.7,0.467+/-0.010
4,-16.842105263157894,1064+/-11,613+/-13,544+/-10,999+/-14,98+/-5,1472+/-15,1435+/-14,117+/-5,0.325+/-0.008
5,-16.05263157894737,960+/-19,704+/-8,625+/-8,937+/-6,85+/-6,1507+/-12,1455+/-24,105.6+/-2.9,0.202+/-0.008
6,-15.263157894736842,901+/-17,780+/-12,715+/-6,868+/-16,63.2+/-3.3,1504+/-16,1497+/-30,99+/-6,0.096+/-0.009
7,-14.473684210526315,797+/-9,898+/-7,760+/-13,753+/-16,66.8+/-2.9,1504+/-10,1540+/-15,94.2+/-3.2,-0.037+/-0.008
8,-13.68421052631579,703+/-9,950+/-11,855+/-4,696+/-13,71.0+/-2.1,1517+/-18,1477+/-7,97+/-5,-0.142+/-0.007
9,-12.894736842105264,645+/-6,1035+/-16,920+/-16,610+/-11,78+/-4,1508+/-16,1492+/-15,110.0+/-3.1,-0.244+/-0.009
10,-12.105263157894736,577+/-8,1076+/-9,975+/-10,559+/-5,90.2+/-2.0,1450+/-16,1492+/-17,129+/-5,-0.324+/-0.006
11,-11.31578947368421,516+/-9,1144+/-30,1053+/-14,518+/-11,136.4+/-3.2,1430+/-8,1473+/-20,165+/-5,-0.420+/-0.012
12,-10.526315789473685,460+/-5,1184+/-11,1117+/-18,431+/-7,155+/-8,1405+/-17,1447+/-14,192+/-5,-0.512+/-0.008
13,-9.736842105263158,408+/-11,1255+/-17,1165+/-17,395+/-6,172+/-5,1382+/-17,1417+/-14,224.4+/-2.6,-0.593+/-0.009
14,-8.947368421052632,367+/-5,1288+/-21,1209+/-7,358+/-8,211.8+/-3.3,1347+/-10,1367+/-23,258+/-10,-0.668+/-0.009
15,-8.157894736842104,318+/-10,1314+/-16,1256+/-9,313+/-7,254.2+/-3.2,1308+/-6,1344+/-13,281+/-7,-0.742+/-0.007
16,-7.368421052631579,282+/-7,1369+/-16,1239+/-16,281+/-7,290+/-7,1284+/-16,1314+/-18,319+/-6,-0.799+/-0.009
17,-6.578947368421053,257+/-7,1411+/-16,1285+/-17,251+/-7,326+/-8,1245+/-20,1304+/-10,356+/-12,-0.864+/-0.009
18,-5.789473684210526,224+/-9,1378+/-14,1314+/-11,223+/-7,337+/-7,1222+/-20,1261+/-9,372+/-7,-0.902+/-0.008
19,-5.0,219+/-11,1416+/-23,1333+/-12,222.2+/-3.1,355+/-8,1196+/-21,1248+/-14,402+/-8,-0.940+/-0.010
