,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-30.0,1455+/-12,92.4+/-3.0,61.8+/-2.1,1467+/-15,787+/-11,772+/-10,663+/-16,850+/-8,1.643+/-0.008
1,-28.88888888888889,1505+/-12,108+/-4,54.0+/-2.3,1437+/-15,603+/-10,1011+/-14,895+/-10,655+/-14,1.342+/-0.009
2,-27.77777777777778,1405+/-16,171.4+/-3.4,100.4+/-2.8,1426+/-18,421+/-9,1184+/-17,1082+/-6,489+/-8,1.084+/-0.008
3,-26.666666666666668,1343+/-13,275+/-6,201+/-6,1320+/-22,270+/-6,1321+/-21,1209+/-13,312+/-9,0.843+/-0.009
4,-25.555555555555557,1161+/-8,408+/-9,315+/-7,1177+/-15,153+/-7,1442+/-19,1359+/-12,193+/-5,0.582+/-0.007
5,-24.444444444444443,1031+/-9,564+/-13,475+/-4,1036+/-7,61+/-4,1497+/-19,1427+/-17,92.8+/-1.8,0.355+/-0.006
6,-23.333333333333332,854+/-8,728+/-6,629+/-9,858+/-7,32.8+/-1.7,1521+/-9,1452+/-31,45.6+/-2.2,0.122+/-0.005
7,-22.22222222222222,699+/-4,875+/-25,794+/-13,708+/-13,38.2+/-1.3,1497+/-18,1475+/-17,37.6+/-2.2,-0.091+/-0.011
8,-21.11111111111111,526+/-9,1033+/-13,950+/-21,554+/-8,82+/-4,1440+/-10,1453+/-12,78.0+/-2.2,-0.319+/-0.009
9,-20.0,391+/-12,1151+/-11,1092+/-14,412+/-7,173+/-6,1393+/-15,1401+/-19,123.0+/-2.5,-0.523+/-0.008
