,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-20.0,1155+/-11,469.1+/-2.9,356.5+/-2.3,1258+/-11,123.1+/-3.2,1488+/-9,1411+/-9,206+/-4,0.553+/-0.005
1,-18.88888888888889,1010+/-7,610+/-4,506.8+/-2.7,1139+/-13,69.1+/-2.0,1520+/-17,1479+/-7,121.4+/-1.6,0.352+/-0.005
2,-17.77777777777778,882+/-6,769+/-5,635.4+/-2.0,987+/-8,34.2+/-1.3,1560+/-11,1518+/-6,70.9+/-1.7,0.155+/-0.004
3,-16.666666666666668,746+/-8,889+/-8,761+/-6,860+/-6,32.7+/-1.3,1595+/-7,1547+/-7,43.4+/-1.7,-0.014+/-0.005
4,-15.555555555555555,630+/-11,1027+/-9,887+/-10,748+/-11,49.6+/-1.8,1586+/-8,1582+/-7,41.6+/-1.3,-0.173+/-0.007
5,-14.444444444444445,521+/-5,1132+/-17,1031+/-11,624+/-8,80.1+/-2.5,1543+/-12,1572+/-16,58.9+/-0.8,-0.330+/-0.007
6,-13.333333333333332,411+/-8,1232.6+/-3.0,1119+/-7,515+/-5,126+/-4,1505+/-5,1515+/-7,86.1+/-3.2,-0.470+/-0.004
7,-12.222222222222221,326+/-5,1331+/-6,1213+/-5,431.0+/-2.9,182+/-5,1444+/-7,1503+/-14,127.1+/-2.1,-0.595+/-0.004
8,-11.11111111111111,257+/-5,1392+/-15,1289+/-6,341.2+/-1.6,237+/-4,1385+/-5,1436+/-4,176.7+/-3.2,-0.713+/-0.004
9,-10.0,194+/-4,1441.1+/-2.5,1341+/-11,269.9+/-1.3,304+/-4,1304+/-5,1366+/-14,232.6+/-1.4,-0.827+/-0.005
