,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-20.0,310.6+/-3.1,1237+/-14,1273+/-10,397+/-13,1363+/-7,222+/-5,225+/-9,1413+/-11,0.657+/-0.007
1,-19.0,428+/-8,1138+/-18,1160+/-25,492+/-8,1405+/-11,161+/-8,137+/-5,1476+/-16,0.489+/-0.011
2,-18.0,538+/-11,970+/-15,1038+/-10,616+/-15,1483+/-23,125+/-4,80.4+/-2.5,1532+/-20,0.293+/-0.009
3,-17.0,633+/-8,882+/-13,960+/-8,725+/-23,1502+/-21,109+/-5,54.4+/-3.2,1567+/-23,0.163+/-0.010
4,-16.0,816+/-16,770+/-7,848+/-9,795+/-6,1493+/-25,109.4+/-2.5,37.0+/-2.8,1565+/-16,0.01+/-0.007
5,-15.0,892+/-18,658+/-12,708+/-11,936+/-6,1481+/-21,135+/-4,41.8+/-1.5,1537+/-10,-0.16+/-0.009
6,-14.0,1010+/-8,584+/-9,621+/-12,1027+/-16,1490+/-6,172.6+/-3.4,58.2+/-2.1,1533+/-20,-0.288+/-0.008
7,-13.0,1082+/-18,491+/-11,522+/-8,1107+/-13,1449+/-20,217+/-5,83+/-5,1478+/-9,-0.419+/-0.009
8,-12.0,1126+/-15,412+/-5,462+/-7,1152+/-9,1407+/-14,239+/-5,118.4+/-3.5,1447+/-13,-0.511+/-0.007
9,-11.0,1222+/-25,343+/-8,407+/-9,1268+/-24,1380+/-28,304.8+/-2.7,173+/-4,1432+/-15,-0.639+/-0.012
10,-10.0,1275+/-11,295+/-6,323+/-9,1295+/-4,1344+/-20,354+/-9,192+/-8,1347+/-24,-0.737+/-0.009
11,-9.0,1326+/-9,251+/-6,276+/-6,1327+/-17,1255+/-11,414+/-10,258+/-5,1286+/-18,-0.848+/-0.008
12,-8.0,1378+/-15,221.0+/-3.2,234+/-11,1394+/-7,1233+/-12,468+/-14,296+/-4,1248+/-9,-0.931+/-0.007
13,-7.0,1418+/-14,191.2+/-2.2,197.0+/-3.5,1383+/-19,1171+/-29,506+/-10,343+/-4,1196+/-14,-1.008+/-0.011
14,-6.0,1453+/-8,171+/-4,184+/-5,1422+/-20,1128+/-26,568+/-11,363+/-7,1182+/-9,-1.068+/-0.010
15,-5.0,1453+/-5,152+/-4,159+/-5,1490+/-20,1084+/-12,594+/-10,410+/-5,1138+/-12,-1.136+/-0.007
16,-4.0,1452+/-16,141+/-4,144+/-5,1483+/-14,1037+/-15,627+/-5,452+/-14,1089+/-17,-1.193+/-0.009
17,-3.0,1458+/-9,136+/-4,127.6+/-3.0,1491+/-14,1021+/-16,636+/-9,444+/-8,1081+/-18, -1.205+/-0.009
18,-2.0,1449+/-9,128.4+/-3.1,120+/-5,1463+/-23,1000+/-11,680+/-9,492+/-8,1036+/-14,-1.255+/-0.008
19,-1.0,1467+/-18,132+/-6,109+/-6,1488+/-20,1021+/-9,674+/-7,502+/-11,1024+/-14,-1.259+/-0.008
