,QP,DR,DL,AR,AL,RR,RL,LR,LL,phi
0,-30.0,148+/-6,755+/-12,706+/-14,97.2+/-1.5,738+/-11,146.8+/-3.2,184+/-7,651+/-10,-2.287+/-0.011
1,-26.666666666666668,461+/-12,467+/-10,457+/-10,396+/-8,864+/-11,26+/-4,44+/-6,848+/-16,-3.101+/-0.012
2,-23.333333333333332,720+/-17,178+/-7,177+/-7,689+/-13,751+/-7,131.4+/-2.0,112+/-6,747+/-15,2.443+/-0.013
3,-20.0,882+/-8,34.0+/-2.8,31.8+/-2.2,852+/-17,495+/-8,363+/-6,338+/-7,545+/-5,1.772+/-0.008
4,-16.666666666666664,833+/-12,43+/-5,44.0+/-3.2,836+/-14,269.6+/-1.8,582+/-18,546+/-9,309+/-5,1.236+/-0.012
5,-13.333333333333332,735+/-5,154+/-12,149+/-6,748+/-13,95+/-4,760+/-11,741+/-6,146+/-6,0.752+/-0.010
6,-10.0,574+/-7,299+/-6,281+/-7,616+/-17,31.6+/-1.7,829+/-16,831+/-8,60.0+/-2.3,0.371+/-0.012
7,-6.666666666666664,487+/-5,388+/-7,404+/-12,504+/-6,20.2+/-1.2,851+/-16,831+/-17,28.4+/-2.2,0.121+/-0.010
8,-3.333333333333332,400+/-10,443+/-9,468+/-8,432+/-8,27.4+/-3.4,844+/-18,861+/-13,26.2+/-2.7,-0.048+/-0.011
9,0.0,359+/-10,488+/-7,500+/-7,398+/-8,38.4+/-1.6,836+/-10,832+/-15,29.4+/-2.5,-0.144+/-0.010
